CountyCode,"Crude rates per 10,000",Lower 95% Limit,Upper 95% Limit,Patient_count,Year,Age group
6000,102.5,101.3,103.7,"26,225",2014,ages (0-4)
6001,148.8,141.4,156.6,"1,487",2014,ages (0-4)
6003,0,0,0,0,2014,ages (0-4)
6005,0,0,0,0,2014,ages (0-4)
6007,102,84.4,122.3,117,2014,ages (0-4)
6009,112.6,67.8,175.8,19,2014,ages (0-4)
6011,94.7,53,156.2,15,2014,ages (0-4)
6013,127.5,118.8,136.6,800,2014,ages (0-4)
6015,86.4,46,147.8,13,2014,ages (0-4)
6017,58.3,43.1,77,49,2014,ages (0-4)
6019,215.7,205.7,226.2,"1,723",2014,ages (0-4)
6021,73.8,41.3,121.6,15,2014,ages (0-4)
6023,76.5,57.1,100.3,52,2014,ages (0-4)
6025,111.3,95.2,129.3,171,2014,ages (0-4)
6027,168.8,96.5,274.1,16,2014,ages (0-4)
6029,117.9,110.2,126,865,2014,ages (0-4)
6031,164.8,142.8,189.3,201,2014,ages (0-4)
6033,119.4,85.7,161.9,41,2014,ages (0-4)
6035,0,0,0,0,2014,ages (0-4)
6037,105.4,103,107.9,"7,067",2014,ages (0-4)
6039,222.1,196.1,250.6,264,2014,ages (0-4)
6041,58.1,45.5,73,73,2014,ages (0-4)
6043,0,0,0,0,2014,ages (0-4)
6045,94.1,69.3,124.7,48,2014,ages (0-4)
6047,190.4,172.2,210,400,2014,ages (0-4)
6049,0,0,0,0,2014,ages (0-4)
6051,0,0,0,0,2014,ages (0-4)
6053,104.5,93.8,116,350,2014,ages (0-4)
6055,86.4,67.4,109.2,70,2014,ages (0-4)
6057,51.7,32,79,21,2014,ages (0-4)
6059,78.2,74.3,82.2,"1,547",2014,ages (0-4)
6061,48.1,39,58.8,96,2014,ages (0-4)
6063,0,0,0,0,2014,ages (0-4)
6065,72.8,68.6,77.1,"1,147",2014,ages (0-4)
6067,118.7,112,125.7,"1,182",2014,ages (0-4)
6069,61,39.1,90.8,24,2014,ages (0-4)
6071,109.1,104,114.4,"1,703",2014,ages (0-4)
6073,92.7,88.6,96.9,"1,975",2014,ages (0-4)
6075,85.7,77.2,94.8,374,2014,ages (0-4)
6077,118.9,109.7,128.6,626,2014,ages (0-4)
6079,72.9,59,89.1,95,2014,ages (0-4)
6081,73.3,65.8,81.4,346,2014,ages (0-4)
6083,75.8,66,86.8,212,2014,ages (0-4)
6085,54.4,50.4,58.7,676,2014,ages (0-4)
6087,97.2,82.5,113.7,156,2014,ages (0-4)
6089,97,79.1,117.8,102,2014,ages (0-4)
6091,0,0,0,0,2014,ages (0-4)
6093,0,0,0,0,2014,ages (0-4)
6095,136.1,122.1,151.2,345,2014,ages (0-4)
6097,74.9,65,85.8,206,2014,ages (0-4)
6099,105.5,95.6,116.2,411,2014,ages (0-4)
6101,55.7,39.4,76.5,38,2014,ages (0-4)
6103,134,99.7,176.1,51,2014,ages (0-4)
6105,0,0,0,0,2014,ages (0-4)
6107,103.9,94.2,114.3,421,2014,ages (0-4)
6109,81.9,48.5,129.4,18,2014,ages (0-4)
6111,75.5,68.4,83,420,2014,ages (0-4)
6113,78,62.8,95.8,91,2014,ages (0-4)
6115,64.1,45.4,88,38,2014,ages (0-4)
6000,72,71.4,72.7,"47,516",2014,ages (5-17)
6001,84.5,80.9,88.2,"2,100",2014,ages (5-17)
6003,0,0,0,0,2014,ages (5-17)
6005,78.7,54.9,109.5,35,2014,ages (5-17)
6007,53.6,46.1,62,181,2014,ages (5-17)
6009,75.6,55.3,100.8,46,2014,ages (5-17)
6011,53.2,34.1,79.2,24,2014,ages (5-17)
6013,82.9,78.8,87.1,"1,567",2014,ages (5-17)
6015,77.5,53,109.5,32,2014,ages (5-17)
6017,51.6,43.7,60.6,151,2014,ages (5-17)
6019,131.9,126.9,137,"2,636",2014,ages (5-17)
6021,47.4,31,69.5,26,2014,ages (5-17)
6023,57.9,47.6,69.8,110,2014,ages (5-17)
6025,161.8,149.1,175.3,600,2014,ages (5-17)
6027,68.8,40.8,108.7,18,2014,ages (5-17)
6029,91.8,87.5,96.3,"1,682",2014,ages (5-17)
6031,132,119.1,145.8,386,2014,ages (5-17)
6033,77.7,60.8,97.9,72,2014,ages (5-17)
6035,66,43.5,96,27,2014,ages (5-17)
6037,82.8,81.4,84.2,"13,671",2014,ages (5-17)
6039,108.7,97.4,120.9,338,2014,ages (5-17)
6041,37.9,32,44.6,146,2014,ages (5-17)
6043,0,0,0,0,2014,ages (5-17)
6045,66.7,53.7,81.8,91,2014,ages (5-17)
6047,110.9,102.5,119.8,646,2014,ages (5-17)
6049,98.5,53.8,165.2,14,2014,ages (5-17)
6051,0,0,0,0,2014,ages (5-17)
6053,72.3,66.5,78.4,575,2014,ages (5-17)
6055,54.8,45.6,65.3,125,2014,ages (5-17)
6057,34.2,25,45.8,45,2014,ages (5-17)
6059,47.7,45.9,49.6,"2,491",2014,ages (5-17)
6061,36.7,32.2,41.8,234,2014,ages (5-17)
6063,66.5,38,107.9,16,2014,ages (5-17)
6065,61.8,59.6,64.2,"2,792",2014,ages (5-17)
6067,79,75.6,82.5,"2,048",2014,ages (5-17)
6069,82.2,66.3,100.7,93,2014,ages (5-17)
6071,82.5,79.8,85.3,"3,461",2014,ages (5-17)
6073,50.3,48.4,52.3,"2,582",2014,ages (5-17)
6075,61,55.7,66.7,486,2014,ages (5-17)
6077,80,75.5,84.8,"1,154",2014,ages (5-17)
6079,47.5,40.7,55.1,175,2014,ages (5-17)
6081,44.3,40.6,48.3,517,2014,ages (5-17)
6083,65.7,59.8,72,460,2014,ages (5-17)
6085,36.8,34.7,39,"1,171",2014,ages (5-17)
6087,54.8,47.8,62.6,219,2014,ages (5-17)
6089,74,64.2,84.7,207,2014,ages (5-17)
6091,0,0,0,0,2014,ages (5-17)
6093,54.2,37.7,75.3,35,2014,ages (5-17)
6095,104.3,96.9,112.1,744,2014,ages (5-17)
6097,47.4,42.7,52.5,364,2014,ages (5-17)
6099,90.2,84.5,96.1,948,2014,ages (5-17)
6101,47,37.6,57.9,87,2014,ages (5-17)
6103,54.8,42,70.3,62,2014,ages (5-17)
6105,0,0,0,0,2014,ages (5-17)
6107,67.7,62.7,72.8,703,2014,ages (5-17)
6109,74.4,55.2,98.1,50,2014,ages (5-17)
6111,55.1,51.4,59,822,2014,ages (5-17)
6113,55.8,47.9,64.7,177,2014,ages (5-17)
6115,32.1,23.6,42.7,47,2014,ages (5-17)
6000,39.9,39.5,40.3,"38,153",2014,ages (18-34)
6001,47.7,45.5,50,"1,806",2014,ages (18-34)
6003,0,0,0,0,2014,ages (18-34)
6005,42.1,27,62.7,24,2014,ages (18-34)
6007,46.5,41.2,52.2,281,2014,ages (18-34)
6009,64.1,46.5,86,44,2014,ages (18-34)
6011,44.1,27.7,66.8,22,2014,ages (18-34)
6013,56,53,59.1,"1,303",2014,ages (18-34)
6015,46.8,31.6,66.8,30,2014,ages (18-34)
6017,36.4,30.3,43.4,124,2014,ages (18-34)
6019,45.6,43,48.4,"1,153",2014,ages (18-34)
6021,53,36.5,74.5,33,2014,ages (18-34)
6023,85.9,76.4,96.2,298,2014,ages (18-34)
6025,52.5,46.2,59.4,251,2014,ages (18-34)
6027,53.5,31.7,84.5,18,2014,ages (18-34)
6029,52.9,50,56,"1,216",2014,ages (18-34)
6031,52.8,46.1,60,229,2014,ages (18-34)
6033,84.7,69,102.9,101,2014,ages (18-34)
6035,26.3,17.2,38.5,26,2014,ages (18-34)
6037,41.1,40.3,41.9,"10,614",2014,ages (18-34)
6039,33.8,28.3,40.1,132,2014,ages (18-34)
6041,22.1,17.9,27.1,94,2014,ages (18-34)
6043,47.4,25.2,81,13,2014,ages (18-34)
6045,74.5,62.4,88.4,132,2014,ages (18-34)
6047,61,55.5,67,443,2014,ages (18-34)
6049,120.9,71.7,191.1,18,2014,ages (18-34)
6051,0,0,0,0,2014,ages (18-34)
6053,44.1,40.3,48.1,494,2014,ages (18-34)
6055,47.4,40,55.7,145,2014,ages (18-34)
6057,54,43.3,66.4,89,2014,ages (18-34)
6059,23.1,22.1,24.2,"1,754",2014,ages (18-34)
6061,31.4,27.6,35.7,237,2014,ages (18-34)
6063,0,0,0,0,2014,ages (18-34)
6065,36.1,34.5,37.7,"2,021",2014,ages (18-34)
6067,69,66.3,71.8,"2,475",2014,ages (18-34)
6069,51.9,40.2,65.9,67,2014,ages (18-34)
6071,50.7,48.8,52.6,"2,745",2014,ages (18-34)
6073,24.4,23.3,25.4,"2,074",2014,ages (18-34)
6075,23.8,21.9,25.9,566,2014,ages (18-34)
6077,57.3,53.8,60.9,"1,001",2014,ages (18-34)
6079,29.3,25.5,33.6,212,2014,ages (18-34)
6081,31,28.3,33.9,491,2014,ages (18-34)
6083,28.2,25.3,31.3,350,2014,ages (18-34)
6085,26.3,24.7,27.8,"1,118",2014,ages (18-34)
6087,24.6,21.1,28.4,178,2014,ages (18-34)
6089,76.4,67.8,85.9,282,2014,ages (18-34)
6091,0,0,0,0,2014,ages (18-34)
6093,58.7,42.6,78.8,44,2014,ages (18-34)
6095,74.3,69,80,725,2014,ages (18-34)
6097,35.1,31.7,38.7,391,2014,ages (18-34)
6099,57.5,53.5,61.7,764,2014,ages (18-34)
6101,34.5,27.3,43.1,78,2014,ages (18-34)
6103,50,38.6,63.8,65,2014,ages (18-34)
6105,98.4,60.1,151.9,20,2014,ages (18-34)
6107,39.8,36.2,43.5,470,2014,ages (18-34)
6109,48.6,36,64.3,49,2014,ages (18-34)
6111,27,24.7,29.4,535,2014,ages (18-34)
6113,28.1,24.2,32.4,189,2014,ages (18-34)
6115,54.9,44.6,66.8,99,2014,ages (18-34)
6000,38.5,38.2,38.9,"57,281",2014,ages (35-64)
6001,54.5,52.7,56.3,"3,505",2014,ages (35-64)
